actorId,actorName
0000158,Tom Hanks
0000741,Tim Allen
0725543,Don Rickles
0001815,Jim Varney
0001728,Wallace Shawn
0000245,Robin Williams
0404993,Jonathan Hyde
0000379,Kirsten Dunst
0682300,Bradley Pierce
0001372,Bonnie Hunt
0000527,Walter Matthau
0000493,Jack Lemmon
0000268,Ann-Margret
0000047,Sophia Loren
0580565,Burgess Meredith
0001365,Whitney Houston
0000291,Angela Bassett
0222643,Loretta Devine
0005375,Lela Rochon
0002138,Gregory Hines
0000188,Steve Martin
0000473,Diane Keaton
0001737,Martin Short
0931090,Kimberly Williams-Paisley
0627624,George Newbern
0000199,Al Pacino
0000134,Robert De Niro
0000174,Val Kilmer
0000685,Jon Voight
0001744,Tom Sizemore
0000148,Harrison Ford
0000566,Julia Ormond
0001427,Greg Kinnear
0545408,Nancy Marchand
0939795,John Wood
0001795,Jonathan Taylor Thomas
0000605,Brad Renfro
0777760,Eric Schweig
0734236,Charles Rocket
0942195,Amy Wright
0000241,Jean-Claude Van Damme
0000959,Powers Boothe
0000855,Raymond J. Barry
0942925,Whittni Wright
0539678,Ross Malinger
0000112,Pierce Brosnan
0000293,Sean Bean
0001713,Izabella Scorupco
0000463,Famke Janssen
0000833,Joe Don Baker
0000140,Michael Douglas
0000906,Annette Bening
0000640,Martin Sheen
0000150,Michael J. Fox
0807332,Anna Deavere Smith
0000558,Leslie Nielsen
0001493,Peter MacNicol
0001836,Steven Weber
0001865,Amy Yasbeck
0000771,Lysette Anthony
0000102,Kevin Bacon
0001364,Bob Hoskins
0000403,Bridget Fonda
0191906,Jim Cummings
0002015,Phil Collins
0000164,Anthony Hopkins
0000260,Joan Allen
0000438,Ed Harris
0000133,Geena Davis
0000546,Matthew Modine
0001449,Frank Langella
0001999,Maury Chaykin
0538869,Patrick Malahide
0000232,Sharon Stone
0000582,Joe Pesci
0000249,James Woods
0281424,James Fleet
0929489,Tom Wilkinson
0910040,Harriet Walter
0000701,Kate Winslet
0000668,Emma Thompson
0205423,Sammi Davis
0004866,Amanda De Cadenet
0000420,Valeria Golino
0000187,Madonna
0001746,Ione Skye
0000120,Jim Carrey
0573862,Ian McNeice
0001003,Simon Callow
0264330,Maynard Eziashi
0348409,Bob Gunton
0000648,Wesley Snipes
0000437,Woody Harrelson
0000182,Jennifer Lopez
0086706,Robert Blake
0177933,Chris Cooper
0000237,John Travolta
0000432,Gene Hackman
0000623,Rene Russo
0000362,Danny DeVito
0001199,Dennis Farina
0000244,Sigourney Weaver
0000456,Holly Hunter
0000551,Dermot Mulroney
0001530,William McNamara
0001065,Harry Connick Jr.
0000230,Sylvester Stallone
0000104,Antonio Banderas
0000194,Julianne Moore
0205863,Anatoli Davydov
0002901,Muse Watson
0005460,Mary Steenburgen
0001218,Sean Patrick Flanery
0000448,Lance Henriksen
0000156,Jeff Goldblum
0807503,Brandon Smith
0000115,Nicolas Cage
0000223,Elisabeth Shue
0001696,Julian Sands
0507659,Richard Lewis
0000401,Laurence Fishburne
0001393,Irène Jacob
0000110,Kenneth Branagh
0662511,Nathaniel Parker
0540585,Michael Maloney
0000207,Christina Ricci
0005280,Rosie O'Donnell
0000301,Thora Birch
0000429,Melanie Griffith
0000451,Gaby Hoffmann
0740500,Amanda Root
0001354,Ciarán Hinds
0281453,Susan Fleetwood
0714874,Corin Redgrave
0789716,Fiona Shaw
0000579,Ron Perlman
0256399,Daniel Emilfork
0900136,Judith Vittet
0684500,Dominique Pinon
0237835,Jean-Claude Dreyfus
0000084,Gong Li
0508349,Baotian Li
0944507,Xiaoxiao Wang
0508554,Xuejian Li
0161158,Chun Sun
0000201,Michelle Pfeiffer
0001169,George Dzundza
0005524,Courtney B. Vance
0000862,Robin Bartlett
0934656,Beatrice Winde
0577828,Joseph Melito
0000246,Bruce Willis
0781218,Jon Seda
0151232,Michael Chance
0132912,Vernon Campbell
0004815,Christine Cavanaugh
0546816,Miriam Margolyes
0542706,Danny Mann
0915989,Hugo Weaving
0283565,Miriam Flynn
0000215,Susan Sarandon
0000576,Sean Penn
0698764,Robert Prosky
0000388,R. Lee Ermey
0000263,Kirstie Alley
0000430,Steve Guttenberg
0001581,Mary-Kate Olsen
0001580,Ashley Olsen
0097842,Philip Bosco
0000224,Alicia Silverstone
0001107,Stacey Dash
0005261,Brittany Murphy
0748620,Paul Rudd
0265668,Donald Faison
0000469,James Earl Jones
0001321,Richard Harris
0475100,Vusi Kunene
0001165,Charles S. Dutton
0917037,Tsholofelo Wechoemang
0100815,Christopher Bowen
0223266,Edward Jewesbury
0005212,Ian McKellen
0665473,Bill Paterson
0005478,Larenz Tate
0202966,Keith David
0000676,Chris Tucker
0135585,Freddy Rodríguez
0414008,Rose Jackson
0000375,Robert Downey Jr.
0000554,Sam Neill
0000667,David Thewlis
0908116,Polly Walker
0000212,Meg Ryan
0000483,Christopher Lambert
0795225,Robin Shou
0000798,Linden Ashby
0846480,Cary-Hiroyuki Tagawa
0933098,Bridgette Wilson-Sampras
0000173,Nicole Kidman
0000369,Matt Dillon
0001618,Joaquin Phoenix
0000729,Casey Affleck
0001152,Illeana Douglas
0185644,Kaelynn Craddick
0185645,Sara Craddick
0001009,Kate Capshaw
0000284,Adam Baldwin
0000213,Winona Ryder
0000151,Morgan Freeman
0001825,Andrew Kevin Walker
0669254,Daniel Zacapa
0000093,Brad Pitt
0000569,Gwyneth Paltrow
0048589,Joe Baker
0000288,Christian Bale
0065942,Irene Bedard
0175262,Billy Connolly
0266301,James Apaumut Fall
0124481,Pascale Bussières
0006692,Rachael Crawford
0001089,Henry Czerny
0288944,David Fox
0001528,Don McKellar
0000286,Stephen Baldwin
0000321,Gabriel Byrne
0001125,Benicio Del Toro
0001629,Kevin Pollak
0000228,Kevin Spacey
0086322,Pamela Blair
0147503,Rene Ceballos
0149654,Elie Chaib
0209340,George De La Pena
0227226,Joanne DiMauro
0516272,Enrico Lo Verso
0686375,Michele Placido
0587549,Piro Milkani
0224076,Carmelo Di Mazzarelli
0418386,Elida Janushi
0001882,Olivia d'Abo
0761587,Jay O. Sanders
0856012,John Terry
0503140,Chauncey Leopardi
0000492,Jennifer Jason Leigh
0001858,Mare Winningham
0505971,Ted Levine
0001611,Max Perlich
0230335,John Doe
0000843,Anne Bancroft
0001164,Charles Durning
0001518,Dylan McDermott
0634159,Philippe Noiret
0873385,Massimo Troisi
0002029,Maria Grazia Cucinotta
0769237,Renato Scarpa
0604323,Linda Moretti
0769136,Hal Scardino
0514342,Litefoot
0001080,Lindsay Crouse
0420955,Richard Jenkins
0080284,Rishi Bhat
0000398,Sally Field
0122466,Olivia Burnette
0477363,Alexandra Kyle
0000662,Kiefer Sutherland
0000377,Richard Dreyfuss
0000444,Glenne Headly
0858988,Jay Thomas
0001156,Olympia Dukakis
0000513,William H. Macy
0915465,Shawn Wayans
0005541,Marlon Wayans
0429385,Tracey Cherelle Jones
0817893,Chris Spencer
0567239,Suli McCullough
0001459,Denis Leary
0000113,Sandra Bullock
0226820,Stephen Dillane
0001433,Yaphet Kotto
0823563,Mike Starr
0040472,William Atherton
0236225,Denise Dowse
0866381,Dara Tomanovich
0922182,Kevin West
0001541,Kylie Minogue
