directorId,directorName
0005124,John Lasseter
0002653,Joe Johnston
0222043,Howard Deutch
0001845,Forest Whitaker
0796124,Charles Shyer
0000520,Michael Mann
0001628,Sydney Pollack
0382072,Peter Hewitt
0001382,Peter Hyams
0132709,Martin Campbell
0001661,Rob Reiner
0000316,Mel Brooks
0920425,Simon Wells
0000231,Oliver Stone
0001317,Renny Harlin
0000217,Martin Scorsese
0000487,Ang Lee
0025978,Allison Anders
0734319,Alexandre Rockwell
0001675,Robert Rodriguez
0000233,Quentin Tarantino
0005062,Chuck Jones
0644203,Steve Oedekerk
0747849,Joseph Ruben
0001756,Barry Sonnenfeld
0000750,Jon Amiel
0001149,Richard Donner
0759207,Victor Salva
0001214,Mike Figgis
0662529,Oliver Parker
0322128,Lesli Linka Glatter
0585011,Roger Michell
0001988,Marc Caro
0000466,Jean-Pierre Jeunet
0955443,Yimou Zhang
0808807,John N. Smith
0000416,Terry Gilliam
0003088,Chris Noonan
0000209,Tim Robbins
0855035,Andy Tennant
0002132,Amy Heckerling
0740213,Darrell Roodt
0518644,Richard Loncraine
0400436,Albert Hughes
0400441,Allen Hughes
0001355,Michael Hoffman
0027271,Paul W.S. Anderson
0001814,Gus Van Sant
0602104,Jocelyn Moorhouse
0000399,David Fincher
0300265,Mike Gabriel
0325196,Eric Goldberg
0005390,Patricia Rozema
0001741,Bryan Singer
0000095,Woody Allen
0002167,Gianni Amelio
0805965,Holly Goldberg Sloan
0343260,Ulu Grosbard
0000149,Jodie Foster
0705535,Michael Radford
0873385,Massimo Troisi
0000568,Frank Oz
0772259,John Schlesinger
0378893,Stephen Herek
0054077,Paris Barclay
0071611,Bill Bennett
0089176,Jason Bloom
0542752,Farhad Mann
0001929,Josiane Balasko
0336620,F. Gary Gray
0802617,Andrew Sipes
0000876,Noah Baumbach
0500988,Claude Lelouch
0325533,Michael Goldenberg
0591171,Steve Miner
0240995,Christian Duguay
0644467,Susanne Ofteringer
0000576,Sean Penn
0001270,Brian Gibson
0070159,Jafar Panahi
0001219,Gary Fleder
0331296,Marleen Gorris
0005347,Tim Reid
0351993,Philip Haas
0000631,Ridley Scott
0477129,Ken Kwapis
0790715,Penelope Spheeris
0000824,John Badham
0001241,Stephen Frears
0000127,Wes Craven
0001130,Ted Demme
0000247,John Woo
0000110,Kenneth Branagh
0440913,Mathieu Kassovitz
0112374,Nick Broomfield
0000887,Harold Becker
0027572,Wes Anderson
0145309,Nick Castle
0001093,John Dahl
0240797,Dennis Dugan
0000142,Clint Eastwood
0246903,Doris Dörrie
0005008,Brian Henson
0494889,Robert Leacock
0000154,Mel Gibson
0867262,Stanley Tong
