uniqueId,movieId,genreId
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,2,1
7,2,3
8,2,5
9,3,4
10,3,6
11,4,4
12,4,7
13,4,6
14,5,4
15,6,8
16,6,9
17,6,10
18,7,4
19,7,6
20,8,1
21,8,3
22,9,8
23,10,8
24,10,1
25,10,10
26,11,4
27,11,7
28,11,6
29,12,4
30,12,11
31,13,1
32,13,2
33,13,3
34,14,7
35,15,8
36,15,1
37,15,6
38,16,9
39,16,7
40,17,7
41,17,6
42,18,4
43,19,4
44,20,8
45,20,4
46,20,9
47,20,7
48,20,10
49,21,4
50,21,9
51,21,10
52,22,9
53,22,7
54,22,11
55,22,12
56,22,10
57,23,8
58,23,9
59,23,10
60,24,7
61,24,13
62,25,7
63,25,6
64,26,7
65,27,3
66,27,7
67,28,7
68,28,6
69,29,1
70,29,7
71,29,5
72,29,12
73,29,13
74,30,9
75,30,7
76,31,7
77,32,12
78,32,13
79,32,10
80,34,3
81,34,7
82,36,9
83,36,7
84,38,3
85,38,4
86,39,4
87,39,6
88,40,7
89,41,7
90,41,14
91,42,8
92,42,9
93,42,7
94,43,7
95,44,8
96,44,1
97,44,5
98,45,4
99,45,7
100,45,10
101,46,7
102,46,6
103,47,12
104,47,10
105,48,2
106,48,3
107,48,7
108,48,15
109,48,6
110,49,7
111,49,6
112,50,9
113,50,12
114,50,10
115,52,4
116,52,7
117,52,6
118,53,1
119,53,7
120,54,3
121,54,4
122,55,7
123,57,7
124,58,4
125,58,7
126,58,6
127,60,1
128,60,3
129,60,5
130,61,7
131,61,10
132,62,7
133,63,4
134,63,9
135,64,4
136,64,6
137,65,4
138,66,8
139,66,13
140,66,10
141,68,4
142,68,6
143,69,4
144,70,8
145,70,4
146,70,11
147,70,10
148,71,8
149,72,4
150,72,7
151,73,7
152,73,14
153,74,7
154,74,6
155,75,4
156,75,7
157,76,8
158,76,13
159,76,10
160,77,16
161,78,8
162,78,9
163,78,7
164,78,10
165,79,7
166,79,10
