languageId,language
1,English
2,French
3,Italian
4,German
5,Spanish
6,Russian
7,Mandarin
8,Latin
9,Dutch
10,Cantonese
11,Algonquin
12,Hungarian
13,Albanian
14,Hebrew
15,Korean
16,American Sign Language
17,Persian
18,Danish
19,Yiddish
20,Scottish Gaelic
21,Kalmyk-Oirat
22,Romanian
23,Malay
24,Indonesian
25,Finnish
26,Luxembourgish
27,French Sign Language
28,Japanese
29,Arabic
30,Sioux
31,Macedonian
32,Swedish
33,Cornish
34,Vietnamese
35,Swahili
36,Navajo
37,Maori
38,Polish
39,Irish
40,Norwegian
41,Egyptian (Ancient)
42,Klingon
43,Swiss German
44,Filipino
45,British Sign Language
46,Xhosa
47,Zulu
48,Esperanto
49,Apache languages
50,Welsh
51,Chinese
52,Portuguese
53,Punjabi
54,Neapolitan
55,Pawnee
56,Greek
57,Catalan
58,Czech
59,Icelandic
60,Serbian
61,Bangla
62,Cree
63,Wolof
64,Thai
65,Hindi
66,Latvian
67,Turkish
68,Nepali
69,Kikuyu
70,Tagalog
71,Quechua
72,Sicilian
73,None
74,Hopi
75,Khmer
76,Urdu
77,Bulgarian
78,North American Indian
79,Aboriginal
80,Afrikaans
81,Ukrainian
82,Slovak
83,Inuktitut
84,Serbo-Croatian
85,Bosnian
86,Croatian
87,Tibetan
88,Mende
89,Syriac
90,Assyrian Neo-Aramaic
91,Min Nan
92,German Sign Language
93,Polynesian
94,Kurdish
95,Sinhala
96,Sindarin
97,Ungwatsi
98,Haitian Creole
99,Tok Pisin
100,Scots
101,Washoe
102,Sanskrit
103,Guarani
104,"Norse, Old"
105,Aramaic
106,Romany
107,Slovenian
108,Shuar
109,Crow
110,"Greek, Ancient (to 1453)"
111,Tamil
112,Papiamento
113,Mandingo
114,Basque
115,Azerbaijani
116,Hawaiian
117,Galician
118,Lao
119,Dari
120,Pashto
121,Shanghainese
122,Hokkien
123,Lingala
124,Bambara
125,Spanish Sign Language
126,Kirundi
127,Mohawk
128,Hausa
129,Somali
130,Middle English
131,Yoruba
132,Ryukyuan
133,Marshallese
134,Armenian
135,Occitan
136,Old English
137,Japanese Sign Language
138,Berber languages
139,Georgian
140,Hakka
141,Saami
142,Belarusian
143,Amharic
144,Chechen
145,Quenya
146,Nahuatl
147,Tuvinian
148,Brazilian Sign Language
149,Tajik
150,Uzbek
151,Mapudungun
152,Tatar
153,Maya
154,Athapascan languages
155,Korean Sign Language
156,Corsican
157,Mongolian
158,Kinyarwanda
159,Southern Sotho
160,Burmese
161,Acholi
162,Estonian
163,Flemish
164,Hmong
165,Nyanja
166,Tswana
167,Sign Languages
168,Kalaallisut
169,Ladino
170,Lithuanian
171,Nama
172,Ibo
173,Akan
174,East-Greenlandic
