movieId,title,year,runtime,posterUrl,boxOffice,imdbRating,imdbVotes
1,Toy Story (1995),1995.0,81.0,"https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg",373554033.0,8.3,1113510.0
2,Jumanji (1995),1995.0,104.0,"https://m.media-amazon.com/images/M/MV5BYTFkMjFmODgtYzRiZi00NmQwLTliZWMtMzRhMWQ5ZmY3ZDExXkEyXkFqcGc@._V1_SY150_CR6,0,101,150_.jpg",262797249.0,7.1,392436.0
3,Grumpier Old Men (1995),1995.0,101.0,"https://m.media-amazon.com/images/M/MV5BMjc0OWM2YTktZWYyMi00YzU1LTljYmEtYmMyNTRlMWFlMzI4XkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg",,6.7,30627.0
4,Waiting to Exhale (1995),1995.0,124.0,"https://m.media-amazon.com/images/M/MV5BZWU4NzA3MDQtODYyOS00OTliLTk3MGEtYzM2ZjNkZmI5ODk5XkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg",81452156.0,6.0,12763.0
5,Father of the Bride Part II (1995),1995.0,106.0,"https://m.media-amazon.com/images/M/MV5BOTMwNzE2Y2YtNzZhMy00YTljLWI1MzQtMTI3YjkxYTg2NjRmXkEyXkFqcGc@._V1_SY150_CR0,0,101,150_.jpg",,6.1,42958.0
6,Heat (1995),1995.0,170.0,"https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_SY150_CR1,0,101,150_.jpg",120000000.0,8.3,748943.0
7,Sabrina (1995),1995.0,127.0,"https://m.media-amazon.com/images/M/MV5BNGZiMmM3YjEtZmQ3Zi00OTQxLTk5MGQtOTBhMDM1MWVkNzFmXkEyXkFqcGc@._V1_SY150_CR1,0,101,150_.jpg",87313761.0,6.3,45686.0
8,Tom and Huck (1995),1995.0,97.0,"https://m.media-amazon.com/images/M/MV5BOGRlOTlkMDYtYjM4Ny00MGJhLWEyZGItMGYxYzUzNWQ1YWQ4XkEyXkFqcGc@._V1_SY150_CR0,0,101,150_.jpg",,5.5,12004.0
9,Sudden Death (1995),1995.0,111.0,"https://m.media-amazon.com/images/M/MV5BZmUwYmQ1MGYtNDk4MC00YjkyLTg2YTktZmE3NmZkZDY2MGE1XkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg",44000000.0,5.9,38206.0
10,GoldenEye (1995),1995.0,130.0,"https://m.media-amazon.com/images/M/MV5BOGQxNmYyY2YtZGIyNy00ODgxLThhZWEtZGIyNjJhYzFlOTllXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg",352194034.0,7.2,276366.0
11,"American President, The (1995)",1995.0,114.0,"https://m.media-amazon.com/images/M/MV5BZTcyNDAzYTUtNjBjMC00YTk3LTg5MTItMzM3MjhlNGE5YWNlXkEyXkFqcGc@._V1_SY150_CR0,0,101,150_.jpg",47800000.0,6.8,62083.0
12,Dracula: Dead and Loving It (1995),1995.0,88.0,"https://m.media-amazon.com/images/M/MV5BN2I2MjQzYTgtZWU5ZS00ZGZmLWFhNmQtNjVlODE0OTM4Y2JhXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg",682514.0,5.8,46886.0
13,Balto (1995),1995.0,78.0,"https://m.media-amazon.com/images/M/MV5BNzY2OGY3MTYtMTlhNC00MDUyLWE2OGEtNzMzZjQxYjFiYjRiXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg",,7.1,49796.0
14,Nixon (1995),1995.0,192.0,"https://m.media-amazon.com/images/M/MV5BNDk3YWU1NmEtMDBhMC00ZGYwLWFiNzQtMzkwMzg4YjA4MDY4XkEyXkFqcGc@._V1_SY150_CR0,0,101,150_.jpg",,7.1,33535.0
